image_key,binary_label,n_positive_objects,n_total_clean_objects
--48MAqc82-bZdgGpaiexA,0,0,0
--7fWq6WjZM8L1eUSuvOEA,0,0,2
--A4b2SOWVi4KL_ryAAtTg,0,0,1
--FValmNpFJ8yo8X7uWODA,0,0,0
--L1OMr84-e5nOLbNH5sBA,0,0,1
--USokD3k9HzZbwzNZntiQ,0,0,1
--taWRWc4f2YUe5w1q9Qew,0,0,0
--tczNya4_w5IhU9DeRMHw,0,0,1
--vWKSR3Rh8quTfK4AuKOQ,0,0,1
--yfp7vRX6P9KIETw9QdRQ,0,0,10
--zM9JXM7e2uVsRfC-c_Tg,0,0,0
-045ksJVc_QDsaI8gpCrzg,0,0,0
-0BXQnPOeVpklWx23Caxaw,0,0,0
-0C1J9CvgFP4BTVLXNeNZA,0,0,3
-0DCdoveCiKUkxBe-xZDmg,0,0,0
-0G6gt8ksR0hO5jMKrTDMw,0,0,2
-0GQmYRienNVqEKiQ0Mkyw,0,0,0
-0P1ML3jD1-MpPHj_Ptm2A,0,0,1
-0Txw7Y3Vybe9RvXLJXDiw,0,0,0
-0VXKtcnkYsZ9j-haB0PJw,0,0,3
-0c_X2o4E_Q38fWHFWAvqg,0,0,2
-0hwJDQZgLXvIw_VwI1VDQ,0,0,0
-0iIhj9Oc7tOo-ydUgveRA,0,0,1
-0oqTZyDwf6SJlJXaHSTVg,0,0,1
-0qK5SEHDldCcM9PJdgL_g,0,0,0
-0zd9UVk577mVT2hpqPEEQ,0,0,0
-1AzkTZK8uCJPpX6JxX9ZA,0,0,0
-1CI3lnupBv6C18BvKbhDg,0,0,3
-1CbHBwZ5qEz-uT8-RC3tw,1,1,7
-1NHElxDhAKyR30lRPDFZA,0,0,1
-1ST1q-1aJcO8r0DzwdPrQ,0,0,1
-1ZXiNNunp0TA-puToNbeQ,0,0,2
-1dYvHaY52PTrihdjPDPQg,1,3,4
-1exc-EDWIlSZ0JN_OTdkw,0,0,0
-1gayojvR3hJXu3Ifj8g1A,0,0,3
-1jlHQxDe6kqJHcH4zxU0g,0,0,0
-1wBFPsc3vMaLzxMDgJkMA,0,0,0
-21_2ziCd0eFiepxxbF6jw,1,1,6
-26BY1bLHmdsLd1uMe80Ew,0,0,1
-277uCsezs1tijmyGGcAjw,0,0,0
-2Hnw2nSUbYDcXRw_xQbjQ,0,0,1
-2Iohl7LoaB-IpCodYjYcA,0,0,2
-2JC6F1waQteIKdf7RxC7w,0,0,0
-2TApqnWVVqLPAKHVe0PFA,0,0,2
-2hCYfmypeQrYslJWfTbEw,0,0,1
-2jlyTTW_pjyx5x13ezNyQ,0,0,1
-2k5fP6nR3RmS7FfzwPNxg,0,0,1
-2mTLsXDXXT-S_c4qQPTFw,0,0,0
-2qCrfAf5Zc8Ld4cyI_rQg,0,0,1
-2ztLeqgX0gCgnELl3vidA,0,0,1
-30dCn_vluz0D6Z5GGxDPA,0,0,0
-34oA3hYB9-5n-nyGjDcTg,0,0,4
-36H9lGvcCA42LkOrmm5xQ,0,0,1
-3Hq2Xdka7kZsAoANWlQgQ,0,0,0
-3WWvMk6i1YgKC9ECG2HEA,0,0,0
-3_JRAZp1h28HLxBMx7RYg,0,0,0
-3heY6kZhu6sy-09K82YsQ,0,0,1
-3vUvRIrj_BvNn9mBS9gHg,0,0,5
-3xD_neNfZp1TI_3_xZgmg,0,0,1
-3xq-uJxV3XuDWwj0IftCg,0,0,0
-49UqFOfINp07mC2tRO2oA,0,0,1
-4D7jjWSsBgbsIeWkmJA4Q,0,0,1
-4JmB_89NpVL45NYCFuVJg,0,0,5
