segment_id,segment_type,segment_label,segment_size,gt_sign_count,gt_meter_count,gt_curb_color_count,has_sign,has_meter,has_curb_color
seg_00000,none,0,5,0,0,0,0,0,0
seg_00001,none,0,5,0,0,0,0,0,0
seg_00002,none,0,5,0,0,0,0,0,0
seg_00003,none,0,5,0,0,0,0,0,0
seg_00004,none,0,5,0,0,0,0,0,0
seg_00005,none,0,5,0,0,0,0,0,0
seg_00006,none,0,5,0,0,0,0,0,0
seg_00007,none,0,5,0,0,0,0,0,0
seg_00008,none,0,5,0,0,0,0,0,0
seg_00009,none,0,5,0,0,0,0,0,0
seg_00010,none,0,5,0,0,0,0,0,0
seg_00011,none,0,5,0,0,0,0,0,0
seg_00012,none,0,5,0,0,0,0,0,0
seg_00013,none,0,5,0,0,0,0,0,0
seg_00014,none,0,5,0,0,0,0,0,0
seg_00015,none,0,5,0,0,0,0,0,0
seg_00016,none,0,5,0,0,0,0,0,0
seg_00017,none,0,5,0,0,0,0,0,0
seg_00018,none,0,5,0,0,0,0,0,0
seg_00019,none,0,5,0,0,0,0,0,0
seg_00020,none,0,5,0,0,0,0,0,0
seg_00021,none,0,5,0,0,0,0,0,0
seg_00022,none,0,5,0,0,0,0,0,0
seg_00023,none,0,5,0,0,0,0,0,0
seg_00024,none,0,5,0,0,0,0,0,0
seg_00025,none,0,5,0,0,0,0,0,0
seg_00026,none,0,5,0,0,0,0,0,0
seg_00027,none,0,5,0,0,0,0,0,0
seg_00028,none,0,5,0,0,0,0,0,0
seg_00029,none,0,5,0,0,0,0,0,0
seg_00030,none,0,5,0,0,0,0,0,0
seg_00031,none,0,5,0,0,0,0,0,0
seg_00032,none,0,5,0,0,0,0,0,0
seg_00033,none,0,5,0,0,0,0,0,0
seg_00034,none,0,5,0,0,0,0,0,0
seg_00035,none,0,5,0,0,0,0,0,0
seg_00036,none,0,5,0,0,0,0,0,0
seg_00037,none,0,5,0,0,0,0,0,0
seg_00038,none,0,5,0,0,0,0,0,0
seg_00039,none,0,5,0,0,0,0,0,0
seg_00040,none,0,5,0,0,0,0,0,0
seg_00041,none,0,5,0,0,0,0,0,0
seg_00042,none,0,5,0,0,0,0,0,0
seg_00043,none,0,5,0,0,0,0,0,0
seg_00044,none,0,5,0,0,0,0,0,0
seg_00045,none,0,5,0,0,0,0,0,0
seg_00046,none,0,5,0,0,0,0,0,0
seg_00047,none,0,5,0,0,0,0,0,0
seg_00048,none,0,5,0,0,0,0,0,0
seg_00049,none,0,5,0,0,0,0,0,0
seg_00050,none,0,5,0,0,0,0,0,0
seg_00051,none,0,5,0,0,0,0,0,0
seg_00052,none,0,5,0,0,0,0,0,0
seg_00053,none,0,5,0,0,0,0,0,0
seg_00054,none,0,5,0,0,0,0,0,0
seg_00055,none,0,5,0,0,0,0,0,0
seg_00056,none,0,5,0,0,0,0,0,0
seg_00057,none,0,5,0,0,0,0,0,0
seg_00058,none,0,5,0,0,0,0,0,0
seg_00059,none,0,5,0,0,0,0,0,0
seg_00060,none,0,5,0,0,0,0,0,0
seg_00061,none,0,5,0,0,0,0,0,0
seg_00062,none,0,5,0,0,0,0,0,0
seg_00063,none,0,5,0,0,0,0,0,0
seg_00064,none,0,5,0,0,0,0,0,0
seg_00065,none,0,5,0,0,0,0,0,0
seg_00066,none,0,5,0,0,0,0,0,0
seg_00067,none,0,5,0,0,0,0,0,0
seg_00068,none,0,5,0,0,0,0,0,0
seg_00069,none,0,5,0,0,0,0,0,0
